valid_time,latitude,longitude,t2m,d2m,sp,tp,ssrd,strd,skt,swvl1,swvl2,swvl3,swvl4,stl1,stl2,stl3,stl4,u10,v10,number,expver,fecha_actualizacion
2025-10-25,13.600000000000001,-89.40000000000003,297.30322,294.89502,93959.69,0.0006931961,1.9597152e+07,3.444652e+07,297.52795,0.36457825,0.3715515,0.40637207,0.42669678,298.33606,298.19824,297.365,297.96765,1.0646515,0.19500732,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.30000000000004,297.17822,295.03174,93647.69,0.00084807875,1.9331536e+07,3.4420696e+07,297.44397,0.37425232,0.3811493,0.40475464,0.4299469,298.09973,297.86426,297.11694,297.69617,1.0832062,0.35614014,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.20000000000005,297.63135,295.78564,94496.69,0.0009917557,1.90618e+07,3.4393896e+07,297.91077,0.3832245,0.3946991,0.3978119,0.4320526,298.41614,298.1162,297.3943,298.00867,1.1066437,0.4869995,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.10000000000005,298.4751,296.7661,96122.69,0.0009898782,1.881829e+07,3.4512956e+07,298.7838,0.38955688,0.40356445,0.394516,0.43270874,299.21887,298.91113,298.13257,298.786,1.0470734,0.651062,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.0,298.49463,296.7876,96054.69,0.00093662145,1.859464e+07,3.4730364e+07,298.84827,0.3921814,0.405838,0.3999939,0.4321289,299.29504,298.9795,298.20874,298.8739,0.92012024,0.8307495,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.9,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.80000000000001,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.70000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.60000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.50000000000003,299.2915,296.6001,97685.69,0.00053601863,1.95462e+07,3.4931636e+07,299.06702,0.37547302,0.38728333,0.41099548,0.40771484,300.463,300.58105,299.66968,300.4911,1.3800812,-0.57940674,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.40000000000003,299.3579,296.8501,97890.69,0.0009960771,1.9381726e+07,3.4811936e+07,298.98108,0.3785553,0.3875122,0.41003418,0.40260315,300.33215,300.38965,299.50757,300.286,1.6408234,-0.14093018,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.30000000000004,299.37354,297.0005,98052.69,0.0012218297,1.9183084e+07,3.4795612e+07,299.0592,0.37886047,0.38761902,0.40873718,0.39666748,300.36145,300.39355,299.57593,300.36023,1.6232452,0.24969482,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.20000000000005,300.0122,297.83838,99279.69,0.0016253233,1.8701138e+07,3.4935376e+07,299.91467,0.42829895,0.43572998,0.4413147,0.46540833,300.99036,300.90137,300.15796,300.97742,1.9171906,0.40203857,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.10000000000005,300.33447,298.2876,99877.69,0.0016253531,1.8457396e+07,3.505402e+07,300.0963,0.4209137,0.43417358,0.44285583,0.46824646,301.1466,301.15332,300.40015,301.2235,1.8576202,0.5661011,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.500000000000002,-89.0,300.24658,298.29932,99694.69,0.0021984219,1.8256372e+07,3.5227188e+07,300.0592,0.42456055,0.43338013,0.4370575,0.46879578,301.02356,300.9873,300.26343,301.08093,1.6154327,0.6598511,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.9,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.80000000000001,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.70000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.60000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.50000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.40000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.30000000000004,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.20000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.10000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.400000000000002,-89.0,300.81494,298.79346,101225.69,0.004914516,1.797006e+07,3.5620304e+07,300.60413,0.48568726,0.4854889,0.49554443,0.4657898,301.7345,301.6416,301.1853,302.2118,2.0451202,0.2897339,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.9,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.80000000000001,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.70000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.60000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.50000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.40000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.30000000000004,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.20000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.10000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.300000000000002,-89.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.9,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.80000000000001,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.70000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.60000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.50000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.40000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.30000000000004,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.20000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.10000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.200000000000003,-89.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.9,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.80000000000001,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.70000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.60000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.50000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.40000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.30000000000004,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.20000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.10000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.100000000000003,-89.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.9,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.80000000000001,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.70000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.60000000000002,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.50000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.40000000000003,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.30000000000004,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.20000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.10000000000005,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.0,-89.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
