valid_time,latitude,longitude,swvl1,swvl2,swvl3,swvl4,stl1,stl2,stl3,stl4,number,expver,fecha_actualizacion
2025-10-17,13.600000000000001,-89.60000000000002,0.41157532,0.4304657,0.43113708,0.42774963,298.323,299.09875,299.12134,300.08313,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.50000000000003,0.41906738,0.4331665,0.41633606,0.42723083,297.1101,297.8722,297.8069,298.7296,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.40000000000003,0.4124756,0.42971802,0.41630554,0.42678833,296.5183,297.28235,297.20728,298.13,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.30000000000004,0.4126587,0.42889404,0.42041016,0.4295349,296.32886,297.05188,296.9436,297.8507,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.20000000000005,0.41897583,0.4228058,0.4203949,0.43211365,296.68237,297.33704,297.25415,298.16907,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.10000000000005,0.4132843,0.4373169,0.41944885,0.43321228,297.44214,298.13,298.02173,298.95422,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.0,0.41773987,0.43899536,0.4245758,0.43276978,297.37964,298.11438,298.0725,299.0421,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-90.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.9,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.80000000000001,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.70000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.60000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.50000000000003,0.42567444,0.42607117,0.41888428,0.3932953,298.9187,299.63977,299.55103,300.68274,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.40000000000003,0.4237671,0.42852783,0.41867065,0.38705444,298.823,299.50696,299.3694,300.4718,0,0005,2025-10-22 21:58:31.513944+00:00
